FFT0,FFT1,FFT2,FFT3,FFT4,BEAT
29,3,0,0,5,1
7,0,0,0,1,0
6,0,0,0,0,0
0,0,0,0,0,0
0,25,7,2,3,0
64,37,3,1,1,0
67,22,0,0,1,0
0,0,1,0,0,0
0,0,4,3,0,0
24,0,0,1,0,0
31,3,4,0,0,0
0,0,11,9,9,0
0,0,18,7,3,0
0,0,8,0,0,0
14,0,1,1,1,0
38,9,1,0,4,0
33,2,0,5,0,0
19,2,0,7,1,0
0,0,0,0,0,0
0,0,0,0,0,0
20,6,0,2,0,0
61,18,0,6,2,0
19,0,0,2,0,1
0,0,0,2,0,0
0,0,0,0,0,0
0,0,7,0,0,0
15,2,0,0,0,0
70,32,0,1,3,0
34,17,0,0,3,1
0,0,0,0,0,0
0,0,0,0,0,0
21,5,0,0,0,0
26,6,6,0,0,0
0,7,6,0,3,0
3,0,6,0,1,0
0,0,0,0,0,0
29,11,0,1,0,0
13,23,0,0,0,0
38,16,0,0,2,0
0,0,0,2,0,1
6,3,0,0,0,0
0,0,0,0,0,0
46,16,2,0,1,0
0,0,5,1,1,0
55,21,5,1,3,0
0,3,0,2,9,0
0,0,1,0,0,0
0,0,0,0,0,0
66,18,4,3,0,0
10,0,0,7,2,0
2,9,1,7,2,0
0,3,0,0,0,0
0,0,22,0,0,0
15,1,6,0,0,0
55,25,4,0,0,0
0,0,4,0,0,0
0,0,4,7,14,0
0,0,4,8,11,0
0,0,0,7,8,0
0,0,0,9,8,0
0,0,0,0,4,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,0
58,16,0,0,6,0
43,30,0,4,13,0
35,15,0,5,7,0
0,0,10,0,0,0
0,0,12,0,0,0
58,22,2,0,0,0
60,14,0,0,0,0
71,30,0,0,0,0
6,0,0,0,4,0
46,19,0,0,0,0
0,0,0,0,0,0
29,6,0,0,0,0
55,17,0,0,0,0
0,8,0,0,0,0
0,0,35,0,0,0
0,0,15,0,0,0
0,4,1,0,0,0
27,5,0,0,0,0
42,7,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,21,0,0,0,0
24,0,0,0,0,0
49,13,0,3,1,0
